Develcuy,1DogCa5wiVZJWFnFDezuw5XssoWWabijnE,1/5-Devcoin Developer(https://bitcointalk.org/index.php?topic=233997.msg45699234#msg45699234),2/5-Earning Factotum(https://bitcointalk.org/index.php?topic=233997.msg52024304#msg52024304)
DevFund,19hM1CJzN2FYiR8CcrEe2X7SbJ69xH8nZ6,82-Devcoin Software Development Fund(https://bitcointalk.org/index.php?topic=233997.msg52823019#msg52823019)
DevSTEEM,1LjmvaTGGQNRDrZPmQpWmXM3kubfAadmGC,56-Devcoin STEEM Project(https://bitcointalk.org/index.php?topic=233997.msg54213907#msg54213907)
Devtome,1FQsjzmQvpETEfsR8CwyoL9HThE56mEry,98-Devtome Fund(https://bitcointalk.org/index.php?topic=233997.msg55192129#msg55192129)
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,1/5-File Custodian(http://coinzen.org/index.php/topic=147.msg6907.html#msg6907),1/5-Node Maintenance(https://bitcointalk.org/index.php?topic=233997.msg54486408#msg54486408),1/5-Block Explorer Maintenance(https://bitcointalk.org/index.php?topic=34586.msg1943155#msg1943155)
ExFund,1n58SBkjTAGfMivACgkaAkRY9Q7pjNeRB,38-Exchange Fund(https://bitcointalk.org/index.php?topic=233997.msg52823147#msg52823147)
K1773R,1NGCrVaFXanWib44ijNBR8yBoCAREGpXro,1/5-File Custodian(http://coinzen.org/index.php/topic=147.msg6907.html#msg6907)
Markm,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,1/5-File Custodian(http://coinzen.org/index.php/topic=147.msg6907.html#msg6907),1/5-Node Maintenance(https://bitcointalk.org/index.php?topic=233997.msg54486408#msg54486408)
OpenSourceFund,1KKZGDL56sHrZefZWw2p61x1z3qzyNAUDJ,98-OpenSource Fund(https://bitcointalk.org/index.php?topic=233997.msg54213907#msg54213907)
OpsFund,1F272RtCW9TKvYA3YUMA9AZ3xbxJjaoBEQ,25-Operations Fund(https://bitcointalk.org/index.php?topic=233997.msg52823382#msg52823382)
Traxo,18teVwxM3R27swjcQrA82RpvJKtay5gycM,1/5-File Custodian(https://bitcointalk.org/index.php?topic=233997.msg52695968#msg52695968),1/5-Node Maintenance(https://bitcointalk.org/index.php?topic=233997.msg54486408#msg54486408)
JoseKus,1Je1KB6sT1DzKtFwTG4xuD2Cd87uZ2wAsA,1/5-Devcoin website hosting(https://github.com/devcoin/shares/issues/1)
